Front;Back
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/259439469/medium.jpg""><br>What is the genus of this plant?";Amsinckia spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/14904/medium.jpg""><br>What is the scientific name of this plant?";Anemopsis californica
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/41440/medium.jpg""><br>What is the scientific name of this plant?";Antirrhinum multiflorum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/258622/medium.jpg""><br>What is the scientific name of this plant?";Apiastrum angustifolium
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/5647843/medium.jpeg""><br>What is the scientific name of this plant?";Apium graveolens
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/375675/medium.jpg""><br>What is the scientific name of this plant?";Apocynum androsaemifolium
"<img src=""https://static.inaturalist.org/photos/106225/medium.jpg""><br>What is the scientific name of this plant?";Apocynum cannabinum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/3342/medium.jpg""><br>What is the scientific name of this plant?";Aquilegia formosa
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/9248407/medium.jpeg""><br>What is the scientific name of this plant?";Arbutus menziesii
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/9166/medium.jpg""><br>What is the scientific name of this plant?";Arceuthobium campylopodum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/22868101/medium.jpeg""><br>What is the genus of this plant?";Arctostaphylos spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/12925/medium.jpg""><br>What is the scientific name of this plant?";Argemone munita
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/121001827/medium.jpg""><br>What is the scientific name of this plant?";Artemisia californica
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/5232/medium.jpg""><br>What is the scientific name of this plant?";Artemisia douglasiana
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/84568291/medium.jpg""><br>What is the scientific name of this plant?";Artemisia dracunculus
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/110262286/medium.jpg""><br>What is the scientific name of this plant?";Artemisia tridentata
"<img src=""https://static.inaturalist.org/photos/170782767/medium.jpeg""><br>What is the scientific name of this plant?";Arundo donax
"<img src=""https://static.inaturalist.org/photos/40111/medium.jpg""><br>What is the genus of this plant?";Asclepias spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/19662/medium.jpg""><br>What is the scientific name of this plant?";Aspidotis densa
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/64913462/medium.jpg""><br>What is the genus of this plant?";Astragalus ssp.
"<img src=""https://static.inaturalist.org/photos/2071508/medium.jpg""><br>What is the scientific name of this plant?";Athyrium filix-femina
"<img src=""https://static.inaturalist.org/photos/260799030/medium.jpg""><br>What is the scientific name of this plant?";Athysanus pusillus
"<img src=""https://static.inaturalist.org/photos/177555300/medium.jpg""><br>What is the scientific name of this plant?";Atriplex canescens
"<img src=""https://static.inaturalist.org/photos/475172/medium.jpg""><br>What is the scientific name of this plant?";Atriplex semibaccata
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/11796/medium.jpg""><br>What is the genus of this plant?";Avena spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/228231241/medium.jpg""><br>What is the scientific name of this plant?";Azolla filiculoides
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/5362069/medium.jpg""><br>What is the scientific name of this plant?";Baccharis pilularis
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/19943/medium.jpg""><br>What is the scientific name of this plant?";Baccharis salicifolia
"<img src=""https://static.inaturalist.org/photos/8500245/medium.jpg""><br>What is the scientific name of this plant?";Barbarea orthoceras
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/185681998/medium.jpg""><br>What is the scientific name of this plant?";Berberis aquifolium
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/23476/medium.jpg""><br>What is the scientific name of this plant?";Blennosperma nanum
"<img src=""https://static.inaturalist.org/photos/38868283/medium.jpeg""><br>What is the scientific name of this plant?";Bloomeria crocea
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/64427045/medium.jpg""><br>What is the genus of this plant?";Boechera spp.
"<img src=""https://static.inaturalist.org/photos/2117457/medium.jpg""><br>What is the scientific name of this plant?";Bolboschoenus maritimus var. paludosus
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/3683818/medium.JPG""><br>What is the scientific name of this plant?";Brassica nigra *
"<img src=""https://static.inaturalist.org/photos/79161957/medium.jpg""><br>What is the scientific name of this plant?";Brickellia californica
"<img src=""https://static.inaturalist.org/photos/44632280/medium.jpg""><br>What is the genus of this plant?";Briza spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/2641/medium.jpg""><br>What is the genus of this plant?";Brodiaea spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/11796/medium.jpg""><br>What is the scientific name of this plant?";Bromus carinatus
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/129695288/medium.jpeg""><br>What is the scientific name of this plant?";Bromus diandrus
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/40456567/medium.jpeg""><br>What is the scientific name of this plant?";Bromus hordeaceus
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/14487752/medium.jpg""><br>What is the genus of this plant?";Bromus madritensis ssp. rubens
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/70313319/medium.jpeg""><br>What is the scientific name of this plant?";Bromus tectorum
"<img src=""https://static.inaturalist.org/photos/35287617/medium.jpg""><br>What is the scientific name of this plant?";Cakile maritima
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/277489/medium.jpg""><br>What is the scientific name of this plant?";Calandrinia ciliata
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/52181671/medium.jpg""><br>What is the scientific name of this plant?";Calocedrus decurrens
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/4752364/medium.jpeg""><br>What is the scientific name of this plant?";Calochortus spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/19424/medium.jpg""><br>What is the scientific name of this plant?";Calycanthus occidentalis
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/127366840/medium.jpg""><br>What is the scientific name of this plant?";Calyptridium monandrum
"<img src=""https://static.inaturalist.org/photos/43058942/medium.jpg""><br>What is the scientific name of this plant?";Calyptridium umbellatum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/58969509/medium.jpeg""><br>What is the genus of this plant?";Calystegia spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/11554/medium.jpg""><br>What is the scientific name of this plant?";Camissonia campestris
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/11555/medium.jpg""><br>What is the scientific name of this plant?";Camissoniopsis cheiranthifolia
"<img src=""https://static.inaturalist.org/photos/22203129/medium.jpg""><br>What is the scientific name of this plant?";Camissoniopsis hirtella
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/9103381/medium.jpg""><br>What is the scientific name of this plant?";Capsella bursa-pastoris 
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/4287278/medium.jpeg""><br>What is the scientific name of this plant?";Carduus pycnocephalus 
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/18432491/medium.jpeg""><br>What is the genus of this plant?";Carex spp.
"<img src=""https://static.inaturalist.org/photos/10857165/medium.jpg""><br>What is the genus of this plant?";Carpobrotus spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/60595899/medium.jpeg""><br>What is the scientific name of this plant?";Castilleja affinis
What is the scientific name of this plant?;Castilleja applegatei ssp. martinii
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/182011437/medium.jpg""><br>What is the scientific name of this plant?";Castilleja exserta
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/62118988/medium.jpeg""><br>What is the scientific name of this plant?";Castilleja miniata
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/15390/medium.jpg""><br>What is the scientific name of this plant?";Castilleja subinclusa
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/12546/medium.jpg""><br>What is the scientific name of this plant?";Caulanthus inflatus
"<img src=""https://static.inaturalist.org/photos/115875111/medium.jpg""><br>What is the genus of this plant?";Ceanothus spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/206740899/medium.jpg""><br>What is the scientific name of this plant?";Centaurea melitensis
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/4755/medium.jpg""><br>What is the scientific name of this plant?";Centaurea solstitialis
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/40925818/medium.jpeg""><br>What is the scientific name of this plant?";Centromadia pungens
"<img src=""https://static.inaturalist.org/photos/85835738/medium.jpeg""><br>What is the scientific name of this plant?";Cephalanthus occidentalis
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/6099995/medium.jpg""><br>What is the scientific name of this plant?";Cercis occidentalis
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/127572967/medium.jpg""><br>What is the scientific name of this plant?";Cercocarpus betuloides
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/8329323/medium.jpeg""><br>What is the scientific name of this plant?";Cercocarpus ledifolius
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/140039168/medium.jpeg""><br>What is the genus of this plant?";Chaenactis ssp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/11250/medium.jpg""><br>What is the scientific name of this plant?";Chamaebatia foliolosa
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/3213000/medium.jpeg""><br>What is the scientific name of this plant?";Euphorbia albomarginata
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/145664133/medium.jpg""><br>What is the scientific name of this plant?";Chamerion angustifolium
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/166877957/medium.jpg""><br>What is the scientific name of this plant?";Chenopodium album
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/116245624/medium.jpeg""><br>What is the scientific name of this plant?";Chenopodium californicum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/62225834/medium.jpg""><br>What is the scientific name of this plant?";Chenopodium murale
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/370/medium.jpg""><br>What is the scientific name of this plant?";Chlorogalum pomeridianum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/6053/medium.jpg""><br>What is the scientific name of this plant?";Chrysolepis chrysophylla
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/24325919/medium.jpeg""><br>What is the scientific name of this plant?";Chrysolepis sempervirens
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/21270271/medium.jpeg""><br>What is the scientific name of this plant?";Cirsium arvense
"<img src=""https://static.inaturalist.org/photos/42197035/medium.jpg""><br>What is the scientific name of this plant?";Cirsium occidentale
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/82020683/medium.jpg""><br>What is the scientific name of this plant?";Cirsium vulgare
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/17563453/medium.jpeg""><br>What is the genus of this plant?";Clarkia spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/3884441/medium.jpeg""><br>What is the scientific name of this plant?";Claytonia parviflora
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/182808852/medium.jpeg""><br>What is the scientific name of this plant?";Claytonia perfoliata
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/26659/medium.jpg""><br>What is the scientific name of this plant?";Clematis lasiantha
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/106791785/medium.jpg""><br>What is the scientific name of this plant?";Clematis ligusticifolia
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/852/medium.jpg""><br>What is the scientific name of this plant?";Collinsia heterophylla
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/8208114/medium.jpg""><br>What is the scientific name of this plant?";Collomia grandiflora
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/18903781/medium.jpg""><br>What is the scientific name of this plant?";Conium maculatum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/147720910/medium.jpeg""><br>What is the scientific name of this plant?";Convolvulus arvensis
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/168890587/medium.jpg""><br>What is the scientific name of this plant?";Erigeron canadensis
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/48756/medium.jpg""><br>What is the scientific name of this plant?";Corallorhiza maculata
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/13044/medium.jpg""><br>What is the scientific name of this plant?";Cordylanthus rigidus
"<img src=""https://static.inaturalist.org/photos/589392/medium.jpg""><br>What is the scientific name of this plant?";Corethrogyne filaginifolia
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/174449734/medium.jpg""><br>What is the scientific name of this plant?";Cornus nuttallii
"<img src=""https://static.inaturalist.org/photos/16633753/medium.jpg""><br>What is the scientific name of this plant?";Cornus sericea
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/2190080/medium.JPG""><br>What is the scientific name of this plant?";Corylus cornuta
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/3193770/medium.JPG""><br>What is the scientific name of this plant?";Crassula connata
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/48737/medium.jpg""><br>What is the scientific name of this plant?";Croton californicus
"<img src=""https://static.inaturalist.org/photos/6720361/medium.jpg""><br>What is the genus of this plant?";Cryptantha spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/44844839/medium.jpeg""><br>What is the scientific name of this plant?";Cucurbita foetidissima
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/6916348/medium.jpg""><br>What is the scientific name of this plant?";Cuscuta californica
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/3032876/medium.JPG""><br>What is the scientific name of this plant?";Cylindropuntia bigelovii
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/303177776/medium.jpg""><br>What is the scientific name of this plant?";Cynara cardunculus
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/121016919/medium.jpg""><br>What is the scientific name of this plant?";Cynodon dactylon
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/28874/medium.jpg""><br>What is the scientific name of this plant?";Cynoglossum grande
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/78081573/medium.jpg""><br>What is the scientific name of this plant?";Cyperus eragrostis
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/188819005/medium.jpg""><br>What is the scientific name of this plant?";Cytisus scoparius
"<img src=""https://static.inaturalist.org/photos/18107850/medium.jpeg""><br>What is the scientific name of this plant?";Darlingtonia californica
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/56222/medium.jpg""><br>What is the scientific name of this plant?";Datisca glomerata
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/52166893/medium.jpg""><br>What is the scientific name of this plant?";Datura wrightii
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/7606922/medium.jpg""><br>What is the scientific name of this plant?";Daucus pusillus
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/12786/medium.jpg""><br>What is the scientific name of this plant?";Deinandra fasciculata
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/3241670/medium.jpg""><br>What is the scientific name of this plant?";Delphinium cardinale
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/96101/medium.jpg""><br>What is the scientific name of this plant?";Delphinium nudicaule
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/3890365/medium.JPG""><br>What is the scientific name of this plant?";Delphinium parishii
"<img src=""https://static.inaturalist.org/photos/33011489/medium.jpg""><br>What is the scientific name of this plant?";Delphinium parryi
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/110212375/medium.jpg""><br>What is the scientific name of this plant?";Dendromecon rigida
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/270693561/medium.jpg""><br>What is the scientific name of this plant?";Dicentra formosa
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/2641/medium.jpg""><br>What is the scientific name of this plant?";Dichelostemma capitatum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/3808493/medium.jpg""><br>What is the scientific name of this plant?";Diplacus aurantiacus
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/38111468/medium.jpg""><br>What is the scientific name of this plant?";Diplacus calycinus
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/7887111/medium.jpeg""><br>What is the scientific name of this plant?";Diplacus longiflorus
"<img src=""https://static.inaturalist.org/photos/4385824/medium.jpg""><br>What is the genus of this plant?";Dipsacus fullonum
"<img src=""https://static.inaturalist.org/photos/82708827/medium.jpg""><br>What is the genus of this plant?";Dipsacus sativus
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/54208942/medium.jpeg""><br>What is the scientific name of this plant?";Distichlis spicata
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/5179471/medium.jpeg""><br>What is the scientific name of this plant?";Dittrichia graveolens
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/1673068/medium.jpg""><br>What is the scientific name of this plant?";Drymocallis glandulosa
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/19326/medium.jpg""><br>What is the scientific name of this plant?";Dryopteris arguta
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/13968/medium.jpg""><br>What is the scientific name of this plant?";Dudleya cymosa
"<img src=""https://static.inaturalist.org/photos/3798937/medium.jpg""><br>What is the scientific name of this plant?";Dudleya pulverulenta
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/14803/medium.jpg""><br>What is the scientific name of this plant?";Ehrendorferia chrysantha
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/142730/medium.jpg""><br>What is the scientific name of this plant?";Eleocharis macrostachya
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/142726/medium.jpg""><br>What is the scientific name of this plant?";Eleocharis parishii
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/24101478/medium.jpeg""><br>What is the scientific name of this plant?";Elymus caput-medusae
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/66056/medium.jpg""><br>What is the scientific name of this plant?";Elymus condensatus
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/4723335/medium.jpg""><br>What is the scientific name of this plant?";Elymus elymoides
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/11805/medium.jpg""><br>What is the scientific name of this plant?";Elymus glaucus
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/11813/medium.jpg""><br>What is the scientific name of this plant?";Elymus triticoides
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/34464275/medium.jpg""><br>What is the scientific name of this plant?";Emmenanthe penduliflora
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/6773467/medium.jpeg""><br>What is the scientific name of this plant?";Encelia californica
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/18131218/medium.jpg""><br>What is the scientific name of this plant?";Ephedra viridis
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/5301/medium.jpg""><br>What is the scientific name of this plant?";Epilobium canum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/1235663/medium.""><br>What is the scientific name of this plant?";Epilobium ciliatum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/200670884/medium.jpeg""><br>What is the scientific name of this plant?";Epipactis gigantea
"<img src=""https://static.inaturalist.org/photos/72881677/medium.jpg""><br>What is the scientific name of this plant?";Equisetum arvense
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/81023667/medium.png""><br>What is the scientific name of this plant?";Equisetum laevigatum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/13138/medium.jpg""><br>What is the scientific name of this plant?";Eremalche rotundifolia
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/992179/medium.JPG""><br>What is the scientific name of this plant?";Croton setiger
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/51758969/medium.jpeg""><br>What is the scientific name of this plant?";Eremothera boothii ssp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/12562722/medium.jpeg""><br>What is the scientific name of this plant?";Eriastrum signatum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/48713375/medium.jpeg""><br>What is the scientific name of this plant?";Ericameria bloomeri
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/15058371/medium.jpeg""><br>What is the scientific name of this plant?";Ericameria linearifolia
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/12630/medium.jpg""><br>What is the scientific name of this plant?";Ericameria nauseosa
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/125979828/medium.jpg""><br>What is the scientific name of this plant?";Erigeron foliosus
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/144564881/medium.jpg""><br>What is the scientific name of this plant?";Eriodictyon californicum
"<img src=""https://static.inaturalist.org/photos/2051298/medium.jpg""><br>What is the scientific name of this plant?";Eriodictyon crassifolium
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/48707/medium.jpg""><br>What is the scientific name of this plant?";Eriogonum cinereum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/94384869/medium.jpeg""><br>What is the scientific name of this plant?";Eriogonum elongatum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/250218073/medium.jpg""><br>What is the scientific name of this plant?";Eriogonum fasciculatum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/153468/medium.jpg""><br>What is the scientific name of this plant?";Eriogonum nudum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/6714451/medium.jpg""><br>What is the scientific name of this plant?";Eriogonum parvifolium
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/58619859/medium.jpeg""><br>What is the genus of this plant?";Eriogonum spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/44551/medium.jpg""><br>What is the scientific name of this plant?";Eriogonum umbellatum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/3593413/medium.jpg""><br>What is the scientific name of this plant?";Eriophyllum confertiflorum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/81616886/medium.jpg""><br>What is the scientific name of this plant?";Eriophyllum lanatum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/16860963/medium.jpg""><br>What is the scientific name of this plant?";Erodium botrys
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/3034061/medium.jpg""><br>What is the scientific name of this plant?";Erodium cicutarium
"<img src=""https://static.inaturalist.org/photos/45877152/medium.jpeg""><br>What is the genus of this plant?";Eryngium spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/42162834/medium.jpg""><br>What is the scientific name of this plant?";Erysimum capitatum
"<img src=""https://static.inaturalist.org/photos/1242791/medium.""><br>What is the scientific name of this plant?";Erythranthe guttata
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/14234311/medium.jpg""><br>What is the genus of this plant?";Erythronium spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/1233073/medium.""><br>What is the scientific name of this plant?";Eschscholzia californica
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/27390141/medium.jpeg""><br>What is the scientific name of this plant?";Eucalyptus camaldulensis
"<img src=""https://static.inaturalist.org/photos/30675602/medium.jpg""><br>What is the scientific name of this plant?";Eucalyptus globulus
